[2023-08-08 15:33:40] Ora2Pg version: 24.0
[2023-08-08 15:33:40] Export type: SHOW_TABLE
[2023-08-08 15:33:40] Geometry export type: INTERNAL
[2023-08-08 15:33:40] ORACLE_HOME = /opt/instant_client_12_2
[2023-08-08 15:33:40] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2023-08-08 15:33:40] NLS_NCHAR = AL32UTF8
[2023-08-08 15:33:40] Trying to connect to database: dbi:Oracle:host=172.17.0.5;sid=xe;port=1521
[2023-08-08 15:33:41] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2023-08-08 15:33:41] Showing table information...
[2023-08-08 15:33:42] Collecting 201 tables in DBA_OBJECTS took:  1 wallclock secs ( 0.01 usr +  0.00 sys =  0.01 CPU)
[2023-08-08 15:33:43] Collecting 199 tables information in DBA_TABLES took:  1 wallclock secs ( 0.01 usr +  0.01 sys =  0.02 CPU)
[2023-08-08 15:33:43] Retrieving column identity information...
[2023-08-08 15:33:43] Looking to subpartition information...
[2023-08-08 15:33:44] Looking to partitioned tables information...
[2023-08-08 15:33:46] Looking to external tables information...
[2023-08-08 15:33:46] [168] TABLE JUROR.VOTERS471 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [169] TABLE JUROR.VOTERS472 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [170] TABLE JUROR.VOTERS473 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [171] TABLE JUROR.VOTERS474 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [172] TABLE JUROR.VOTERS475 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [173] TABLE JUROR.VOTERS476 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [174] TABLE JUROR.VOTERS477 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [175] TABLE JUROR.VOTERS478 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [176] TABLE JUROR.VOTERS479 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [177] TABLE JUROR.VOTERS480 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [178] TABLE JUROR.VOTERS626 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [179] TABLE JUROR.VOTERS750 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [180] TABLE JUROR.VOTERS751 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [181] TABLE JUROR.VOTERS754 (owner: JUROR, 999 rows)
